[0.000000] (-) TimerEvent: {}
[0.000275] (-) JobUnselected: {'identifier': 'aruco'}
[0.000333] (-) JobUnselected: {'identifier': 'aruco_msgs'}
[0.000353] (-) JobUnselected: {'identifier': 'aruco_ros'}
[0.000370] (-) JobUnselected: {'identifier': 'costmap_converter'}
[0.000386] (-) JobUnselected: {'identifier': 'costmap_converter_msgs'}
[0.000402] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000417] (-) JobUnselected: {'identifier': 'csm'}
[0.000431] (-) JobUnselected: {'identifier': 'datasync'}
[0.000446] (-) JobUnselected: {'identifier': 'datasync'}
[0.000461] (-) JobUnselected: {'identifier': 'datasync_2_0'}
[0.000475] (-) JobUnselected: {'identifier': 'datasync_3_0'}
[0.000490] (-) JobUnselected: {'identifier': 'datasync_ros2'}
[0.000505] (-) JobUnselected: {'identifier': 'dv-imu-cam-calibration'}
[0.000519] (-) JobUnselected: {'identifier': 'dv-processing'}
[0.000534] (-) JobUnselected: {'identifier': 'dv_ros2_accumulation'}
[0.000548] (-) JobUnselected: {'identifier': 'dv_ros2_aedat4'}
[0.000563] (-) JobUnselected: {'identifier': 'dv_ros2_capture'}
[0.000577] (-) JobUnselected: {'identifier': 'dv_ros2_imu_bias'}
[0.000592] (-) JobUnselected: {'identifier': 'dv_ros2_messaging'}
[0.000607] (-) JobUnselected: {'identifier': 'dv_ros2_msgs'}
[0.000622] (-) JobUnselected: {'identifier': 'dv_ros2_runtime_modules'}
[0.000636] (-) JobUnselected: {'identifier': 'dv_ros2_tracker'}
[0.000651] (-) JobUnselected: {'identifier': 'dv_ros2_visualization'}
[0.000665] (-) JobUnselected: {'identifier': 'dvs_msgs'}
[0.000680] (-) JobUnselected: {'identifier': 'dvs_to_dv_bridge'}
[0.000695] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.000709] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000723] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000742] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000766] (-) JobUnselected: {'identifier': 'event_camera_codecs'}
[0.000783] (-) JobUnselected: {'identifier': 'event_camera_msgs'}
[0.000797] (-) JobUnselected: {'identifier': 'event_clustering'}
[0.000812] (-) JobUnselected: {'identifier': 'event_denoise'}
[0.000827] (-) JobUnselected: {'identifier': 'event_depth_midas'}
[0.000841] (-) JobUnselected: {'identifier': 'event_hot_pixel_mask'}
[0.000855] (-) JobUnselected: {'identifier': 'event_nav2_layer'}
[0.000870] (-) JobUnselected: {'identifier': 'event_rate_filter'}
[0.000884] (-) JobUnselected: {'identifier': 'event_segmentation'}
[0.000899] (-) JobUnselected: {'identifier': 'event_tf_static'}
[0.000913] (-) JobUnselected: {'identifier': 'libcaer_driver'}
[0.000928] (-) JobUnselected: {'identifier': 'limo_base'}
[0.000943] (-) JobUnselected: {'identifier': 'limo_bringup'}
[0.000957] (-) JobUnselected: {'identifier': 'limo_car'}
[0.000971] (-) JobUnselected: {'identifier': 'limo_description'}
[0.000985] (-) JobUnselected: {'identifier': 'limo_msgs'}
[0.000999] (-) JobUnselected: {'identifier': 'limo_visions'}
[0.001013] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.001028] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.001042] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.001056] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.001070] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.001084] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.001098] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.001112] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.001135] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.001214] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.001231] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.001246] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.001260] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.001274] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.001289] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.001303] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.001317] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.001332] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.001441] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.001583] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.001619] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.001646] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.001674] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.001700] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.001726] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.001752] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.001777] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.001806] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.001826] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.001842] (-) JobUnselected: {'identifier': 'navigation2'}
[0.001857] (-) JobUnselected: {'identifier': 'orbbec_camera'}
[0.001872] (-) JobUnselected: {'identifier': 'orbbec_camera_msgs'}
[0.001895] (-) JobUnselected: {'identifier': 'orbbec_description'}
[0.001910] (-) JobUnselected: {'identifier': 'rf2o_laser_odometry'}
[0.001925] (-) JobUnselected: {'identifier': 'teb_local_planner'}
[0.001939] (-) JobUnselected: {'identifier': 'teb_msgs'}
[0.001953] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.001976] (-) JobUnselected: {'identifier': 'ydlidar_sdk'}
[0.001998] (-) JobUnselected: {'identifier': 'yolov5_ros2'}
[0.002040] (datasync_4_0) JobQueued: {'identifier': 'datasync_4_0', 'dependencies': OrderedDict([('dv_ros2_msgs', '/home/nochi/NOCHI/M2_PAR/Projet_de_synthese/install/dv_ros2_msgs')])}
[0.002071] (datasync_4_0) JobStarted: {'identifier': 'datasync_4_0'}
[0.015783] (datasync_4_0) JobEnded: {'identifier': 'datasync_4_0', 'rc': 1}
[0.026368] (-) EventReactorShutdown: {}
